01:40:00 [INFO] CEREBRO: [UI] Theme changed: dark
01:40:02 [INFO] CEREBRO: [UI] Navigated to mission
01:40:02 [INFO] CEREBRO: [UI] MainWindow initialized
01:40:06 [INFO] CEREBRO: [UI] Navigated to settings
01:40:08 [INFO] CEREBRO: [UI] Navigated to themes
01:40:10 [INFO] CEREBRO: [UI] Navigated to history
01:40:12 [INFO] CEREBRO: [UI] Navigated to review
01:40:13 [INFO] CEREBRO: [UI] Navigated to scan
01:40:50 [INFO] CEREBRO: [UI] Scan started: 2fb352aa-a872-43b9-acb1-8bf7d8c164d3
01:40:51 [INFO] CEREBRO: [UI] Navigated to review
01:40:55 [INFO] CEREBRO: [UI] Navigated to history
01:40:59 [INFO] CEREBRO: [UI] Navigated to themes
