12:41:25 [INFO] CEREBRO: [UI] Theme changed: dark
12:41:27 [INFO] CEREBRO: [UI] Navigated to mission
12:41:27 [INFO] CEREBRO: [UI] MainWindow initialized
12:41:32 [INFO] CEREBRO: [UI] Navigated to mission
12:41:33 [INFO] CEREBRO: [UI] Navigated to scan
12:41:50 [INFO] CEREBRO: [UI] Scan started: 4b315166-db67-446f-b288-952033098183
12:41:51 [INFO] CEREBRO: [UI] Navigated to review
12:43:13 [INFO] CEREBRO: [UI] Navigated to scan
12:43:17 [INFO] CEREBRO: [UI] Scan started: 6b334d7e-3142-45fb-8b8e-cd0296b9c8e6
12:43:19 [INFO] CEREBRO: [UI] Navigated to review
