17:20:10 [INFO] CEREBRO: [UI] Theme changed: dark
17:20:11 [INFO] CEREBRO: [UI] Navigated to mission
17:20:11 [INFO] CEREBRO: [UI] MainWindow initialized
17:20:15 [INFO] CEREBRO: [UI] Navigated to scan
17:20:34 [INFO] CEREBRO: [UI] Scan started: 317e3539-72f7-4473-9731-d91ee27df279
17:39:41 [INFO] CEREBRO: [UI] Navigated to mission
17:39:43 [INFO] CEREBRO: [UI] Navigated to scan
17:39:45 [INFO] CEREBRO: [UI] Navigated to review
17:39:47 [INFO] CEREBRO: [UI] Navigated to scan
18:03:30 [INFO] CEREBRO: [UI] Navigated to review
